sentence,error_types
For example we can see on the discovery channel in wild life many people are hobbies to learn from the animals . ,"['SPELL', 'ARTICLE', 'VERB FORM']"
People use the public water to drink water . ,"['ARTICLE', 'VERB FORM']"
Very soon they will run out at the current rate of utilisation . ,['SPELL']
It is obvious that after returning i was tired and the night is meant to sleep ! . ,"['TENSE', 'SVA', 'ARTICLE']"
And there is a lot of critics concerned that the reqired testing is so long that declined the valueable for patients . ,"['SPELL', 'SVA', 'VERB FORM']"
"In my opinion , this statement is groundless and the youngsters today do contribute to their communities to a great extent . ",['ARTICLE']
It is more exciting and memorable . ,[]
"In deed , they can be refuced . ",['SPELL']
Successful people have to do things stablely and do what they already know how to do well . ,['VERB FORM']
"For example , my parents went to a group tour to my country in Korea last summer . ",['ARTICLE']
Afther that they have to find a well-paid job . ,"['SPELL', 'VERB FORM']"
"and then , makers of cars need to develop the systems for safe almost completely . ",['VERB FORM']
"in general , there are many peples in a book . ",['SPELL']
Buses should be reserved for spots where there is no possibility to set up tramway routes . ,[]
This creates people to pier pressure . ,"['VERB FORM', 'SPELL']"
It was a reasonable price . ,[]
I had lots of problem about studying science . ,['SVA']
"When I go to travel to see something I want , we do not know about when it is open or close even though I study before , it might be suddenly close . ","['TENSE', 'VERB FORM']"
And if the knowledge is in all the area 's then it gives you an added advatage to you knowledge level . ,"['SPELL', 'ARTICLE']"
"Although the weatherrealted factors could be considered , such as the land shape of the area . ","['SPELL', 'VERB FORM']"
They success and they had the power . ,['VERB FORM']
professor need them to do a project . ,"['ARTICLE', 'SVA']"
Altough life is never easy : the age do n't depend on when you can be protected or prevented from bad things . ,"['SPELL', 'SVA']"
"If we conseder an idea as a totally autonomous concept within the individual process of defining reality , I will state that ideas are useless , not being based on experience . ","['SPELL', 'VERB FORM']"
She know just that what teacher has told her but no more . ,"['SVA', 'ARTICLE']"
Local communities have the main role of protecting children if such children are their own children or not . ,['ARTICLE']
"Moreover , take risks teaches you to accept both winning and losing , that is the most important lesson one should learn in order to achieve any kind of objective . ",['VERB FORM']
so this test is very important with theirs . ,['VERB FORM']
For example in a chemistry class when you talk about oxygen is needed for a burning process you can give a fact to support your idea which is you can put out a fire with a blanket by cutting the oxygen . ,"['VERB FORM', 'ARTICLE']"
Infact even today most of these systems runs on electricity which can be harnessed by several non polluting ways . ,"['SPELL', 'SVA']"
